11.05.2018 17:43:00
1981 35   0.00,  0.00,  0.07,  0.16,  0.63,  2.27,  4.84,  7.38,  9.49, 10.64, 54.86,  5.07,  2.57,  1.25,  0.46,  0.26,  0.03,  0.00,  0.00,  0.00,  0.00
1981 36   0.03,  0.07,  0.13,  1.22,  2.50,  6.23, 10.28, 11.70, 14.83, 13.11, 26.52,  6.79,  4.12,  1.58,  0.59,  0.20,  0.00,  0.07,  0.03,  0.00,  0.00
1981 37   0.07,  0.23,  0.76,  2.87,  6.26, 10.77, 13.48, 15.52, 15.09, 11.57, 12.22,  5.70,  2.97,  1.78,  0.43,  0.20,  0.03,  0.03,  0.00,  0.03,  0.00
1981 38   0.20,  0.56,  1.71,  4.81,  9.03, 11.99, 14.86, 15.02, 13.41, 10.91,  8.30,  3.99,  2.97,  1.22,  0.63,  0.23,  0.10,  0.03,  0.03,  0.00,  0.00
1981 39   0.26,  0.92,  2.60,  5.04,  9.52, 11.73, 15.02, 13.94, 14.33, 10.54,  7.02,  4.58,  2.60,  1.05,  0.43,  0.16,  0.16,  0.07,  0.00,  0.00,  0.00
1981 40   0.10,  0.46,  1.71,  4.09,  7.48, 10.38, 14.53, 15.09, 14.66, 12.39,  8.01,  5.37,  3.16,  1.75,  0.33,  0.23,  0.20,  0.07,  0.00,  0.00,  0.00
1981 41   0.07,  0.10,  0.13,  0.76,  2.60,  5.60,  9.23, 12.65, 15.29, 17.66, 13.81,  9.03,  6.36,  3.82,  1.65,  0.82,  0.33,  0.10,  0.00,  0.00,  0.00
1981 42   0.00,  0.00,  0.07,  0.20,  0.26,  1.19,  2.64,  5.83, 10.38, 14.07, 15.68, 16.11, 11.73,  9.49,  6.16,  3.82,  1.45,  0.76,  0.16,  0.00,  0.00
1981 43   0.00,  0.00,  0.03,  0.10,  0.16,  0.82,  1.65,  4.09,  7.84, 12.09, 15.16, 15.32, 14.14, 11.70,  8.83,  4.65,  2.01,  1.02,  0.30,  0.10,  0.00
1981 44   0.00,  0.00,  0.00,  0.03,  0.20,  0.82,  1.78,  4.68,  9.49, 12.39, 14.93, 14.96, 14.70, 12.13,  6.92,  3.89,  1.91,  0.86,  0.23,  0.10,  0.00
1981 45   0.00,  0.00,  0.00,  0.00,  0.20,  1.22,  3.39,  7.84, 11.07, 14.70, 15.78, 15.39, 13.15,  8.14,  4.61,  2.31,  1.35,  0.63,  0.16,  0.03,  0.03
1981 46   0.00,  0.00,  0.00,  0.10,  1.32,  5.17,  8.76, 11.33, 15.39, 14.40, 13.61, 10.71,  8.20,  5.34,  3.13,  1.52,  0.76,  0.13,  0.13,  0.00,  0.00
1981 47   0.00,  0.00,  0.10,  0.72,  3.06,  7.51, 10.41, 13.77, 14.93, 12.75, 10.44,  9.79,  7.81,  4.22,  2.87,  0.89,  0.66,  0.03,  0.03,  0.00,  0.00
1981 48   0.00,  0.07,  0.20,  1.22,  4.71,  8.63, 12.69, 13.90, 13.94, 11.04, 10.31,  8.50,  7.22,  4.78,  1.81,  0.66,  0.23,  0.10,  0.00,  0.00,  0.00
1981 49   0.00,  0.03,  0.10,  1.32,  5.17, 10.48, 13.41, 13.87, 12.29, 11.00, 10.18,  9.72,  6.85,  3.53,  1.45,  0.36,  0.16,  0.07,  0.00,  0.00,  0.00
1981 50   0.00,  0.00,  0.03,  0.30,  2.14,  8.11, 12.22, 13.21, 13.94, 11.93, 11.76, 10.74,  7.81,  4.71,  2.08,  0.86,  0.07,  0.10,  0.00,  0.00,  0.00
1981 51   0.00,  0.00,  0.00,  0.33,  1.22,  5.86, 11.50, 13.01, 15.62, 14.43, 12.78, 10.77,  7.28,  3.89,  2.01,  0.92,  0.30,  0.03,  0.03,  0.00,  0.00
1981 52   0.00,  0.00,  0.07,  0.40,  1.94,  6.19, 11.37, 14.66, 16.34, 16.87, 12.59,  8.67,  6.06,  2.97,  1.19,  0.49,  0.16,  0.03,  0.00,  0.00,  0.00
1982 01   0.03,  0.10,  0.30,  0.66,  2.77,  6.59, 11.50, 17.00, 19.97, 15.45, 12.09,  8.07,  3.39,  1.12,  0.66,  0.10,  0.13,  0.07,  0.00,  0.00,  0.00
1982 02   0.07,  0.10,  0.33,  1.02,  3.43,  8.47, 15.12, 19.41, 20.63, 14.93,  8.80,  4.68,  1.61,  0.86,  0.26,  0.13,  0.07,  0.10,  0.00,  0.00,  0.00
1982 03   0.00,  0.13,  0.20,  0.92,  3.53,  9.65, 18.29, 22.50, 19.34, 13.34,  7.45,  2.60,  0.99,  0.72,  0.13,  0.13,  0.03,  0.03,  0.00,  0.00,  0.00
1982 04   0.00,  0.00,  0.10,  0.76,  3.46, 10.71, 21.58, 24.51, 19.64, 11.53,  4.48,  2.04,  0.69,  0.43,  0.03,  0.03,  0.00,  0.00,  0.00,  0.00,  0.00
1982 05   0.00,  0.00,  0.00,  0.43,  1.45,  6.92, 18.85, 26.00, 22.24, 13.97,  5.77,  2.93,  1.35,  0.07,  0.03,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 06   0.00,  0.00,  0.00,  0.26,  1.29,  7.25, 20.53, 26.56, 22.44, 11.20,  6.10,  3.20,  1.12,  0.03,  0.03,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 07   0.00,  0.00,  0.00,  0.13,  1.68,  8.93, 22.57, 24.78, 18.19, 12.26,  6.85,  3.86,  0.69,  0.03,  0.03,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 08   0.00,  0.00,  0.00,  0.10,  1.42, 11.33, 23.79, 24.15, 16.84, 12.09,  6.69,  3.29,  0.23,  0.07,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 09   0.00,  0.00,  0.00,  0.43,  4.02, 15.72, 28.70, 23.66, 16.80,  7.58,  2.57,  0.40,  0.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 10   0.00,  0.00,  0.00,  0.66,  6.43, 23.33, 32.85, 23.43,  9.62,  2.97,  0.53,  0.20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
